Date,Description,Category,Amount,Account,Account #,Institution,Month,Week,Check Number,Full Description,Date Added,Categorized Date
2025-09-05,Bwx Technologies Inc Com - Reinvestment Bwx Technologies Inc Com,,-10.44,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-01,,BWX TECHNOLOGIES INC COM - REINVESTMENT BWX TECHNOLOGIES INC COM,2025-09-29 19:22:21.200,
2025-09-11,Midjourney Inc. South San Fra CA,Software Subs,-10.0,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,MIDJOURNEY INC. SOUTH SAN FRA CA,2025-09-29 19:22:21.200,
2025-09-01,Uber *one Membership x8996 CA,Ride Service,-9.99,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,UBER *ONE MEMBERSHIP XXXXXX8996 CA,2025-09-29 19:22:21.200,2025-09-29
2025-09-11,The Queen Bean Bistro Ventnor City NJ,Coffee and Donuts,-9.98,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,THE QUEEN BEAN BISTRO VENTNOR CITY NJ,2025-09-29 19:22:21.200,
2025-09-09,Dunkin #xx6233 Ventnor City NJ,Coffee and Donuts,-9.78,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,DUNKIN #XX6233 VENTNOR CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-20,Sumup *benefield Cric Upper Benefie Gbr,,-9.5,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,SumUp *Benefield Cric Upper Benefie GBR,2025-09-29 19:22:21.200,
2025-09-09,Sq *remedee Coffee Roa Atlantic City NJ,,-9.26,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,SQ *REMEDEE COFFEE ROA ATLANTIC CITY NJ,2025-09-29 19:22:21.200,
2025-09-11,Dunkin #xx6233 Ventnor City NJ,Coffee and Donuts,-8.6,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,DUNKIN #XX6233 VENTNOR CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-24,Dunkin #xx6233 Ventnor City NJ,Coffee and Donuts,-8.39,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-22,,DUNKIN #XX6233 VENTNOR CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-04,Fortis Inc Com Isin #CAx1079 Sedol #x00 - Foreign Tax Paid as of x-X9-01 Fortis Inc Com Isin #CAx1079 Se...,,-8.27,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-01,,FORTIS INC COM ISIN #CAXXXXXX1079 SEDOL #XXXXX00 - FOREIGN TAX PAID as of XXXX-X9-01 FORTIS INC COM ISIN #CAXXXXXX1079 SE...,2025-09-29 19:22:21.200,
2025-09-10,Starbucks Seattle WA,Coffee and Donuts,-8.21,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,STARBUCKS SEATTLE WA,2025-09-29 19:22:21.200,2025-09-29
2025-09-08,Starbucks x x-x-7282 WA,Coffee and Donuts,-8.21,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,STARBUCKS XXXXXXXXXX XXX-XXX-7282 WA,2025-09-29 19:22:21.200,2025-09-29
2025-09-04,Dunkin #xx6233 Ventnor City NJ,Coffee and Donuts,-7.02,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,DUNKIN #XX6233 VENTNOR CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-28,Amazon Kids+*gd5nn8df3,Software Subs,-6.61,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-22,,Amazon Kids+*GD5NN8DF3,2025-09-29 19:22:21.200,2025-09-29
2025-09-01,Kindle Svcs*670zi5683,,-6.61,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-01,,Kindle Svcs*670ZI5683,2025-09-29 19:22:21.200,
2025-09-11,Dunkin #xx6233 Ventnor City NJ,Coffee and Donuts,-6.6,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,DUNKIN #XX6233 VENTNOR CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-09,Amazon Mktpl*131f548r3,Shopping,-6.39,CREDIT CARD (-9983),xxxx9983,Chase,2025-09-01,2025-09-08,,AMAZON MKTPL*131F548R3,2025-09-29 19:22:21.200,2025-09-29
2025-09-16,Dunkin #xx6233 Ventnor City NJ,Coffee and Donuts,-6.27,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,DUNKIN #XX6233 VENTNOR CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-14,Dunkin #xx6233 Ventnor City NJ,Coffee and Donuts,-6.27,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,DUNKIN #XX6233 VENTNOR CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-22,Tst-paris Baguette-hsk London Gbr,,-5.83,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-22,,TST-Paris Baguette-HSK London GBR,2025-09-29 19:22:21.200,
2025-09-19,Fee Charged Fidelity Basket Portfolios,Credit Card Fees,-4.99,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-15,,FEE CHARGED Fidelity Basket Portfolios,2025-09-29 19:22:21.200,2025-09-29
2025-09-21,Tfl Travel Ch Tfl.gov.uk/cp Gbr,,-3.93,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,TFL TRAVEL CH TFL.GOV.UK/CP GBR,2025-09-29 19:22:21.200,
2025-09-20,Apple.com/bill Cupertino CA,Software Subs,-2.99,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,APPLE.COM/BILL CUPERTINO CA,2025-09-29 19:22:21.200,2025-09-29
2025-09-12,Dunkin #xx6233 Ventnor City NJ,Coffee and Donuts,-2.12,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-08,,DUNKIN #XX6233 VENTNOR CITY NJ,2025-09-29 19:22:21.200,2025-09-29
2025-09-07,Link2gov Corp Margate City NJ,,-1.48,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-01,,LINK2GOV CORP MARGATE CITY NJ,2025-09-29 19:22:21.200,
2025-09-21,Sumup *benefield Cric Upper Benefie Gbr,,-1.36,Citi /AAdvantage Executive World Elite Mastercard,xxxx3129,Citibank,2025-09-01,2025-09-15,,SumUp *Benefield Cric Upper Benefie GBR,2025-09-29 19:22:21.200,
2025-09-25,Vertiv Holdings Co Com Cl a - Reinvestment Vertiv Holdings Co Com Cl a,,-1.31,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-22,,VERTIV HOLDINGS CO COM CL A - REINVESTMENT VERTIV HOLDINGS CO COM CL A,2025-09-29 19:22:21.200,
2025-09-09,Arm Holdings Plc Spon Ads Each Rep 1 Ord Shs - Fee Charged Arm Holdings Plc Spon Ads Each Rep 1...,,-0.49,INVESTMENTS,xxxx6597,Fidelity Investments,2025-09-01,2025-09-08,,ARM HOLDINGS PLC SPON ADS EACH REP 1 ORD SHS - FEE CHARGED ARM HOLDINGS PLC SPON ADS EACH REP 1...,2025-09-29 19:22:21.200,
